stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
5022,7239,SB MITCHELL RD AT MT BAKER HWY,,48.828064,-122.22308,1,,,,,0
5023,7243,NB MITCHELL RD AT MT BAKER HWY,,48.827965,-122.22291,1,,,,,0
5025,3002,NB ELECTRIC AVE AT FRASER ST,,48.751736,-122.42384,1,,,,,0
5026,3003,NB ELECTRIC AVE AT KANSAS ST,,48.753578,-122.42302,1,,,,,0
5027,3004,NB ELECTRIC AVE AT FLYNN ST,,48.756432,-122.42171,1,,,,,0
5028,3005,NB ELECTRIC AVE AT 2100 BLOCK,,48.757881,-122.42106,1,,,,,0
5029,3006,NB ELECTRIC AVE AT BLODEL DONOVAN,,48.76046,-122.42068,1,,,,,0
5045,3023,SB ELECTRIC AVE AT BLODEL DONOVAN,,48.760166,-122.42085,1,,,,,0
5046,3024,SB ELECTRIC AVE AT 2100 BLOCK,,48.75774,-122.42136,1,,,,,0
5047,3025,SB ELECTRIC AVE AT FLYNN ST,,48.756012,-122.42216,1,,,,,0
5048,3026,SB ELECTRIC AVE AT KANSAS ST,,48.753635,-122.42319,1,,,,,0
5049,3027,SB ELECTRIC ST AT FRASER ST,,48.751427,-122.42421,1,,,,,0
5050,3028,NB YEW ST AT LAKEWAY DR,,48.74593,-122.44284,1,,,,,0
5051,3029,NB WOBURN ST AT FRASER ST,,48.751549,-122.44509,1,,,,,0
5052,3030,NB WOBURN ST AT KENTUCKY ST,,48.75882,-122.44521,1,,,,,0
5055,3033,SB WOBURN ST AT KENTUCKY ST,,48.758694,-122.44543,1,,,,,0
5056,3034,SB WOBURN ST AT FRASER ST,,48.752148,-122.44538,1,,,,,0
5057,3035,SB OLD WOBURN ST AT SWEETBAY DR,,48.746342,-122.44537,1,,,,,0
5058,3120,WB LAKEWAY DR AT BIRCH ST,,48.748581,-122.42754,1,,,,,0
5059,3168,NB BENNETT DR AT MCALPINE RD,,48.775616,-122.52003,1,,,,,0
5060,3171,WB DONOVAN AVE AT 31ST ST,,48.717384,-122.47658,1,,,,,0
5062,7242,NB HWY 9 AT RUTSATZ RD,,48.806995,-122.1979,1,,,,,0
5065,3364,NB WOBURN ST AT OLD WOBURN ST,,48.74852,-122.44508,1,,,,,0
